"","pub_id","Authors","Author_IDs"
"1",1,"Horton, J. W. Jr",595
"2",1,"Stoeser, D.",1115
"3",1,"San Juan, C. A.",1326
"4",2,"Mauk, Jeffrey L.",761
"5",2,"Schmeda, German",1341
"6",2,"Gnesda, William R",1342
"7",2,"Knudsen, Liam D",1343
"8",2,"Karl, Nick A",1344
"9",3,"Fortier, Steven M.",375
"10",3,"Hammarstrom, Jane M.",458
"11",3,"Ryker, S J",1021
"12",3,"Day, Warren C.",270
"13",3,"Seal, Robert R. II",996
"14",4,"Hofstra, A H",505
"15",4,"Kreiner, Douglas C.",655
"16",5,"Hofstra, A H",505
"17",5,"Kreiner, Douglas C.",655
"18",6,"Fortier, Steven M.",375
"19",6,"Graham, Garth E.",432
"20",6,"Hammarstrom, Jane M.",458
"21",6,"Day, Warren C.",270
"22",6,"Mauk, Jeffrey L.",761
"23",6,"Seal, Robert R. II",996
"24",6,"Nassar, Nedal T.",1327
"25",7,"Van Gosen, B S",429
"26",7,"Verplanck, P.",1193
"27",7,"Emsbo, Poul",328
"28",8,"Hammarstrom, Jane M.",458
"29",8,"Dicken, C.",292
"30",9,"Hammarstrom, Jane M.",458
"31",9,"Dicken, C.",292
"32",9,"Woodruff, L.",1256
"33",9,"Andersen, A.",40
"34",9,"Brennan, S.",153
"35",9,"Day, Warren C.",270
"36",9,"Drenth, Benjamin J.",305
"37",9,"Foley, N.",372
"38",9,"Hall, S.",454
"39",9,"Hofstra, A H",505
"40",9,"McCafferty, Anne E.",770
"41",9,"Shah, A. K.",1052
"42",9,"Ponce, D.",947
"43",10,"Drenth, Benjamin J.",305
"44",10,"Grauch, V. J. S.",434
"45",11,"Naibert, Travis J.",859
"46",11,"Benowitz, J.",101
"47",11,"Wypych, Alicja",1267
"48",11,"Sicard, Karri R.",1071
"49",11,"Twelker, Evan",1178
"50",12,"Wypych, Alicja",1267
"51",12,"Twelker, Evan",1178
"52",12,"Naibert, Travis J.",859
"53",12,"Athey, Jennifer E.",58
"54",12,"Newberry, Rainer J.",864
"55",12,"Lopez, Julian A.",707
"56",12,"Regan, Sean P.",986
"57",12,"Sicard, Karri R.",1071
"58",12,"Wildland, Alec D.",1241
"59",12,"Wyatt, W. Chris",1266
"60",13,"Kelley, K.",614
"61",14,"Day, Warren C.",270
"62",15,"Day, Warren C.",270
"63",16,"Lederer, Graham W.",678
"64",16,"Jones, James V. III",550
"65",16,"McPhee, Darcy",780
"66",16,"Loferski, Patricia",705
"67",16,"Seal, Robert R. II",996
"68",16,"Bedrosian, Paul A.",93
"69",16,"Macqueen, Patricia G.",728
"70",16,"Grauch, V. J. S.",434
"71",16,"Solano, Federico",1091
"72",16,"Rosera, Joshua M.",1008
"73",16,"Pineault, David George",941
"74",17,"Lederer, Graham W.",678
"75",17,"Jones, James V. III",550
"76",17,"McPhee, Darcy",780
"77",17,"Mauk, Jeffrey L.",761
"78",17,"Seal, Robert R. II",996
"79",17,"Campbell, Kate M.",180
"80",17,"Hammarstrom, Jane M.",458
"81",17,"Bedrosian, Paul A.",93
"82",17,"Macqueen, Patricia G.",728
"83",17,"Graham, Garth E.",432
"84",17,"Solano, Federico",1091
"85",17,"Case, George N. D.",191
"86",17,"Pineault, David George",941
"87",18,"Wang, C.",1211
"88",18,"Slack, J F",1083
"89",18,"Shah, A. K.",1052
"90",18,"Yates, M G",1285
"91",18,"Marvinney, R G",748
"92",18,"Lentz, David R.",1328
"93",18,"Whittaker, Amber T. H.",1329
"94",19,"Twelker, Evan",1178
"95",19,"Newberry, Rainer J.",864
"96",19,"Wypych, Alicja",1267
"97",19,"Naibert, Travis J.",859
"98",19,"Wildland, Alec D.",1241
"99",19,"Sicard, Karri R.",1071
"100",19,"Regan, Sean P.",986
"101",19,"Athey, Jennifer E.",58
"102",19,"Wyatt, W. Chris",1266
"103",19,"Lopez, Julian A.",707
"104",20,"Kreiner, Douglas C.",655
"105",20,"Jones, James V. III",550
"106",21,"Kreiner, Douglas C.",655
"107",21,"Jones, James V. III",550
"108",21,"Case, George N. D.",191
"109",22,"Shah, A. K.",1052
"110",22,"Morrow, Robert",1330
"111",22,"Pace, Michael",1331
"112",22,"Harris, M. Scott",1332
"113",22,"Doar,William",1333
"114",23,"Van Gosen, B S",429
"115",23,"Choate, L M",207
"116",24,"Fikru, M G",362
"117",25,"Hammarstrom, Jane M.",458
"118",25,"Dicken, C.",292
"119",25,"Day, Warren C.",270
"120",25,"Hofstra, A H",505
"121",25,"Drenth, Benjamin J.",305
"122",25,"Shah, A. K.",1052
"123",25,"McCafferty, Anne E.",770
"124",25,"Woodruff, L.",1256
"125",25,"Foley, N.",372
"126",25,"Ponce, D.",947
"127",25,"Frost, T.",383
"128",25,"Stillings, L.",1114
"129",26,"Dicken, C.",292
"130",26,"Hammarstrom, Jane M.",458
"131",27,"Hammarstrom, Jane M.",458
"132",27,"Dicken, C.",292
"133",27,"Woodruff, L.",1256
"134",27,"Mitchell, Ryan J.",1345
"135",28,"Hammarstrom, Jane M.",458
"136",28,"Dicken, C.",292
"137",28,"Woodruff, L.",1256
"138",28,"Andersen, A.",40
"139",28,"Brennan, S.",153
"140",28,"Day, Warren C.",270
"141",28,"Drenth, Benjamin J.",305
"142",28,"Foley, N.",372
"143",28,"Hall, S.",454
"144",28,"Hofstra, A H",505
"145",28,"McCafferty, Anne E.",770
"146",28,"Shah, A. K.",1052
"147",28,"Ponce, D.",947
"148",29,"Newberry, Rainer J.",864
"149",29,"Twelker, Evan",1178
"150",30,"Day, Warren C.",270
"151",31,"McLemore, Virginia T.",776
"152",31,"Iverson, Nels",558
"153",31,"Owen, Evan J.",899
"154",31,"Kelley, Shari",616
"155",31,"Zimmerer, Mathew",1320
"156",31,"Kelley, Richard",615
"157",32,"Shah, A. K.",1052
"158",32,"Pratt, T. L.",954
"159",32,"Horton, J. W. Jr",595
"160",33,"Dahm, K.",259
"161",33,"Hawbaker, T.",476
"162",33,"Frus, R.",384
"163",33,"Monroe, A.",817
"164",33,"Bradford, J.",144
"165",33,"Andrews, William M. Jr",596
"166",33,"Anderson, E.",35
"167",33,"Dean, D.",275
"168",33,"Qi, S.",965
"169",33,"Torregrosa, A.",1334
"170",34,"Todd, Erin",1163
"171",34,"Kylander-Clark, A R C",663
"172",34,"Kreiner, Douglas C.",655
"173",34,"Jones, James V. III",550
"174",34,"Holm-Denoma, C S",508
"175",34,"Wypych, Alicja",1267
"176",35,NA,NA
"177",36,"Shah, A. K.",1052
"178",37,"Magnin, B P",731
"179",37,"Kuiper, Y D",657
"180",37,"Anderson, E.",35
"181",38,"Naibert, Travis J.",859
"182",38,"Twelker, Evan",1178
"183",38,"Wypych, Alicja",1267
"184",38,"Athey, Jennifer E.",58
"185",38,"Newberry, Rainer J.",864
"186",38,"Lopez, Julian A.",707
"187",38,"Regan, Sean P.",986
"188",38,"Sicard, Karri R.",1071
"189",38,"Wildland, Alec D.",1241
"190",38,"Wyatt, W. Chris",1266
"191",39,"Wypych, Alicja",1267
"192",39,"Twelker, Evan",1178
"193",39,"Naibert, Travis J.",859
"194",39,"Gavel, Michelle M.",402
"195",39,"Newberry, Rainer J.",864
"196",39,"Szumigala, David J.",1135
"197",39,"Wildland, Alec D.",1241
"198",39,"Barrera, Michael L.",83
"199",39,"Harvey, David A.",474
"200",39,"Muller, Izzy P.",845
"201",39,"Fessenden, Serena N.",359
"202",39,"Blackwell, Noel J S",122
"203",40,"Wypych, Alicja",1267
"204",41,"Glen, Jonathan M G",421
"205",41,"Earney, Tait E.",315
"206",42,"Lukoczki, Georgina",713
"207",42,"Dietsch, Craig",294
"208",42,"Hickman, John B.",496
"209",42,"Morris, Emily",829
"210",42,"Curl, Douglas C.",254
"211",42,"Pulliam, Carrie",959
"212",42,"Vicroy, Stephanie",1194
"213",42,"Andrews, William M. Jr",596
"214",43,"Twelker, Evan",1178
"215",43,"O'Sullivan, P B",897
"216",44,"Van Gosen, B S",429
"217",45,"Voosen, Paul",1200
"218",46,"Twelker, Evan",1178
"219",47,"Twelker, Evan",1178
"220",48,"Wypych, Alicja",1267
"221",48,"Gavel, Michelle M.",402
"222",48,"Naibert, Travis J.",859
"223",48,"Avirett, Dylan F.",61
"224",48,"Barrera, Michael L.",83
"225",48,"Hubbard, Angie K.",527
"226",48,"Newberry, Rainer J.",864
"227",48,"Regan, Sean P.",986
"228",48,"Twelker, Evan",1178
"229",48,"Wildland, Alec D.",1241
"230",48,"Wyatt, W. Chris",1266
"231",49,"Wypych, Alicja",1267
"232",49,"Gavel, Michelle M.",402
"233",49,"Naibert, Travis J.",859
"234",49,"Avirett, Dylan F.",61
"235",49,"Barrera, Michael L.",83
"236",49,"Hubbard, Angie K.",527
"237",49,"Newberry, Rainer J.",864
"238",49,"Regan, Sean P.",986
"239",49,"Twelker, Evan",1178
"240",49,"Wildland, Alec D.",1241
"241",49,"Wyatt, W. Chris",1266
"242",50,"Connell, Dylan M",1336
"243",50,"Blakely, Richard J",1346
"244",50,"Staisch, Lydia M",1347
"245",51,"Hammarstrom, Jane M.",458
"246",51,"Kreiner, Douglas C.",655
"247",51,"Dicken, C.",292
"248",51,"Woodruff, L.",1256
"249",52,"Wilson, T S",1251
"250",52,"Wiltermuth, M T",1252
"251",52,"Jenni, K E",570
"252",52,"Horton, R J",517
"253",52,"Hunt, R J",537
"254",52,"Williams, D M",1243
"255",52,"Nolan, V P",879
"256",52,"Aumen, N G",60
"257",52,"Brown, D S",163
"258",52,"Blasch, K W",125
"259",52,"Murdoch, P S",848
"260",53,"Glen, Jonathan M G",421
"261",53,"Earney, Tait E.",315
"262",54,"Maune, David F.",1335
"263",55,"Truskowski, Conner M.",1176
"264",55,"Heizler, Matthew T.",489
"265",55,"Naibert, Travis J.",859
"266",55,"Newberry, Rainer J.",864
"267",55,"Twelker, Evan",1178
"268",55,"Szumigala, David J.",1135
"269",56,"Naibert, Travis J.",859
"270",56,"Heizler, Matthew T.",489
"271",56,"Twelker, Evan",1178
"272",56,"Newberry, Rainer J.",864
"273",56,"Wypych, Alicja",1267
"274",57,"Naibert, Travis J.",859
"275",57,"Heizler, Matthew T.",489
"276",57,"Newberry, Rainer J.",864
"277",57,"Twelker, Evan",1178
"278",57,"Wypych, Alicja",1267
"279",58,"Anderson, E.",35
"280",58,"Drenth, Benjamin J.",305
"281",58,"Grauch, V. J. S.",434
"282",58,"McCafferty, Anne E.",770
