"","pub_id","author_name","author_id"
"1",3,"Fortier, Steven M.","375"
"2",3,"Hammarstrom, Jane M.","458"
"3",3,"Ryker, S J","1021"
"4",3,"Day, Warren C.","270"
"5",3,"Seal, Robert R. II","996"
"6",7,"Van Gosen, B S","429"
"7",7,"Verplanck, P.","1193"
"8",7,"Emsbo, Poul","328"
"9",9,"Hammarstrom, Jane M.","458"
"10",9,"Dicken, C.","292"
"11",9,"Woodruff, L.","1256"
"12",9,"Andersen, A.","40"
"13",9,"Brennan, S.","153"
"14",9,"Day, Warren C.","270"
"15",9,"Drenth, Benjamin J.","305"
"16",9,"Foley, N.","372"
"17",9,"Hall, S.","454"
"18",9,"Hofstra, A H","505"
"19",9,"McCafferty, Anne E.","770"
"20",9,"Shah, A. K.","1052"
"21",9,"Ponce, D.","947"
"22",16,"Lederer, Graham W.","678"
"23",16,"Jones, James V. III","550"
"24",16,"McPhee, Darcy","780"
"25",16,"Loferski, Patricia","705"
"26",16,"Seal, Robert R. II","996"
"27",16,"Bedrosian, Paul A.","93"
"28",16,"Macqueen, Patricia G.","728"
"29",16,"Grauch, V. J. S.","434"
"30",16,"Solano, Federico","1091"
"31",16,"Rosera, Joshua M.","1008"
"32",16,"Pineault, David George","941"
"33",18,"Wang, C.","1211"
"34",18,"Slack, J F","1083"
"35",18,"Shah, A. K.","1052"
"36",18,"Yates, M G","1285"
"37",18,"Marvinney, R G","748"
"38",18,"Lentz, David R.","1328"
"39",18,"Whittaker, Amber T. H.","1329"
"40",19,"Twelker, Evan","1178"
"41",19,"Newberry, Rainer J.","864"
"42",19,"Wypych, Alicja","1267"
"43",19,"Naibert, Travis J.","859"
"44",19,"Wildland, Alec D.","1241"
"45",19,"Sicard, Karri R.","1071"
"46",19,"Regan, Sean P.","986"
"47",19,"Athey, Jennifer E.","58"
"48",19,"Wyatt, W. Chris","1266"
"49",19,"Lopez, Julian A.","707"
"50",29,"Newberry, Rainer J.","864"
"51",29,"Twelker, Evan","1178"
"52",31,"McLemore, Virginia T.","776"
"53",31,"Iverson, Nels","558"
"54",31,"Owen, Evan J.","899"
"55",31,"Kelley, Shari","616"
"56",31,"Zimmerer, Mathew","1320"
"57",31,"Kelley, Richard","615"
"58",32,"Shah, A. K.","1052"
"59",32,"Pratt, T. L.","954"
"60",32,"Horton, J. W. Jr","595"
"61",33,"Dahm, K.","259"
"62",33,"Hawbaker, T.","476"
"63",33,"Frus, R.","384"
"64",33,"Monroe, A.","817"
"65",33,"Bradford, J.","144"
"66",33,"Andrews, William M. Jr","596"
"67",33,"Anderson, E.","35"
"68",33,"Dean, D.","275"
"69",33,"Qi, S.","965"
"70",33,"Torregrosa, A.","1334"
"71",37,"Magnin, B P","731"
"72",37,"Kuiper, Y D","657"
"73",37,"Anderson, E.","35"
"74",40,"Wypych, Alicja","1267"
"75",46,"Twelker, Evan","1178"
"76",47,"Twelker, Evan","1178"
"77",51,"Hammarstrom, Jane M.","458"
"78",51,"Kreiner, Douglas C.","655"
"79",51,"Dicken, C.","292"
"80",51,"Woodruff, L.","1256"
"81",53,"Glen, Jonathan M G","421"
"82",53,"Earney, Tait E.","315"
"83",55,"Truskowski, Conner M.","1176"
"84",55,"Heizler, Matthew T.","489"
"85",55,"Naibert, Travis J.","859"
"86",55,"Newberry, Rainer J.","864"
"87",55,"Twelker, Evan","1178"
"88",55,"Szumigala, David J.","1135"
"89",56,"Naibert, Travis J.","859"
"90",56,"Heizler, Matthew T.","489"
"91",56,"Twelker, Evan","1178"
"92",56,"Newberry, Rainer J.","864"
"93",56,"Wypych, Alicja","1267"
"94",94,"Naibert, Travis J.","859"
"95",94,"Wypych, Alicja","1267"
"96",94,"Newberry, Rainer J.","864"
"97",94,"Twelker, Evan","1178"
"98",94,"Gavel, Michelle M.","402"
"99",94,"Wildland, Alec D.","1241"
"100",94,"Barrera, Michael L.","83"
"101",94,"Szumigala, David J.","1135"
"102",94,"Regan, Sean P.","986"
"103",94,"Avirett, Dylan F.","61"
"104",94,"Bernard, Curtis M.","106"
"105",94,"Blackwell, Noel J S","122"
"106",94,"Fessenden, Serena N.","359"
"107",94,"Harvey, David A.","474"
"108",94,"Hubbard, Angie K.","527"
"109",94,"Masterman, Steve S.","753"
"110",94,"Muller, Izzy P.","845"
"111",94,"Wyatt, W. Chris","1266"
"112",94,"Turner, M. M.","1338"
